Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SNOW,Chrome 64.0.3282.186,,2018-03-14 18:01:26,2018-03-14 18:11:15,9m - 49.462s,FAILED
,,,,,,
Test Cases/Main Test Cases/apttus11,Chrome 64.0.3282.186,,2018-03-14 18:01:27,2018-03-14 18:06:57,5m - 29.913s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-14 18:01:28,2018-03-14 18:01:33,5.233s,PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-14 18:01:33,2018-03-14 18:01:34,1.309s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-14 18:01:34,2018-03-14 18:01:42,8.101s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 18:01:42,2018-03-14 18:01:54,11.885s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 18:01:54,2018-03-14 18:01:54,0.258s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:01:54,2018-03-14 18:01:55,0.195s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-14 18:01:55,2018-03-14 18:02:08,12.994s,PASSED
"Statement - attribute = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Apttus - Quote Page (11)/div_Draft), ""class"")",Chrome 64.0.3282.186,,2018-03-14 18:02:08,2018-03-14 18:02:08,0.252s,PASSED
"Statement - verifttrue = attribute.contains(""select"")",Chrome 64.0.3282.186,,2018-03-14 18:02:08,2018-03-14 18:02:08,0.003s,PASSED
Statement - assert verifttrue == true,Chrome 64.0.3282.186,,2018-03-14 18:02:08,2018-03-14 18:02:08,0.003s,PASSED
verifyEqual,Chrome 64.0.3282.186,,2018-03-14 18:02:08,2018-03-14 18:02:08,0.034s,PASSED
Statement - quote = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Apttus - Quote Page (13)/QUOTEid)),Chrome 64.0.3282.186,,2018-03-14 18:02:08,2018-03-14 18:02:08,0.101s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:02:08,2018-03-14 18:02:10,2.044s,PASSED
waitForElementVisible,Chrome 64.0.3282.186,,2018-03-14 18:02:10,2018-03-14 18:02:14,3.672s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 18:02:14,2018-03-14 18:02:14,0.817s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-14 18:02:14,2018-03-14 18:02:16,2.008s,PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-14 18:02:16,2018-03-14 18:02:17,0.453s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-14 18:02:17,2018-03-14 18:02:18,1.146s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:02:18,2018-03-14 18:02:18,0.158s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-14 18:02:18,2018-03-14 18:02:27,8.752s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:02:27,2018-03-14 18:02:28,1.019s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 18:02:28,2018-03-14 18:02:29,0.627s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:02:29,2018-03-14 18:02:29,0.363s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-14 18:02:29,2018-03-14 18:02:29,0.100s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:02:29,2018-03-14 18:02:29,0.361s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:02:29,2018-03-14 18:02:30,0.389s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 18:02:30,2018-03-14 18:02:30,0.405s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:02:30,2018-03-14 18:02:30,0.187s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-14 18:02:30,2018-03-14 18:02:30,0.040s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:02:30,2018-03-14 18:02:31,0.180s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-14 18:02:31,2018-03-14 18:03:27,56.084s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:03:27,2018-03-14 18:03:27,0.459s,PASSED
waitForAngularLoad,Chrome 64.0.3282.186,,2018-03-14 18:03:27,2018-03-14 18:03:33,5.867s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-14 18:03:33,2018-03-14 18:03:33,0.073s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:03:33,2018-03-14 18:03:33,0.276s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-14 18:03:33,2018-03-14 18:03:39,5.880s,PASSED
"Statement - attribute = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Apttus - Quote Page (11)/div_Approved), ""class"")",Chrome 64.0.3282.186,,2018-03-14 18:03:39,2018-03-14 18:03:40,0.242s,PASSED
"Statement - verifttrue = attribute.contains(""select"")",Chrome 64.0.3282.186,,2018-03-14 18:03:40,2018-03-14 18:03:40,0.000s,PASSED
Statement - assert verifttrue == true,Chrome 64.0.3282.186,,2018-03-14 18:03:40,2018-03-14 18:03:40,0.000s,PASSED
verifyEqual,Chrome 64.0.3282.186,,2018-03-14 18:03:40,2018-03-14 18:03:40,0.003s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:03:40,2018-03-14 18:03:42,2.835s,PASSED
