Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SNOW,Chrome 64.0.3282.186,,2018-03-14 18:44:47,2018-03-14 18:54:20,9m - 32.525s,FAILED
,,,,,,
Test Cases/Main Test Cases/apttus11,Chrome 64.0.3282.186,,2018-03-14 18:44:48,2018-03-14 18:52:11,7m - 23.534s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-14 18:44:48,2018-03-14 18:44:53,4.385s,PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-14 18:44:53,2018-03-14 18:44:54,1.280s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-14 18:44:54,2018-03-14 18:45:03,9.338s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 18:45:03,2018-03-14 18:45:25,21.454s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 18:45:25,2018-03-14 18:45:25,0.216s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:45:25,2018-03-14 18:45:25,0.181s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-14 18:45:25,2018-03-14 18:45:38,12.952s,PASSED
"Statement - attribute = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Apttus - Quote Page (11)/div_Draft), ""class"")",Chrome 64.0.3282.186,,2018-03-14 18:45:38,2018-03-14 18:45:38,0.315s,PASSED
"Statement - verifttrue = attribute.contains(""select"")",Chrome 64.0.3282.186,,2018-03-14 18:45:38,2018-03-14 18:45:38,0.001s,PASSED
verifyEqual,Chrome 64.0.3282.186,,2018-03-14 18:45:38,2018-03-14 18:45:39,0.035s,PASSED
Statement - quote = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Apttus - Quote Page (13)/QUOTEid)),Chrome 64.0.3282.186,,2018-03-14 18:45:39,2018-03-14 18:45:39,0.145s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:45:39,2018-03-14 18:45:42,3.536s,PASSED
waitForElementVisible,Chrome 64.0.3282.186,,2018-03-14 18:45:42,2018-03-14 18:45:46,3.378s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 18:45:46,2018-03-14 18:45:46,0.747s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-14 18:45:46,2018-03-14 18:45:48,2.009s,PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-14 18:45:48,2018-03-14 18:45:49,0.234s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-14 18:45:49,2018-03-14 18:45:50,1.061s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:45:50,2018-03-14 18:45:50,0.129s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-14 18:45:50,2018-03-14 18:46:08,18.207s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:46:08,2018-03-14 18:46:09,1.320s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 18:46:09,2018-03-14 18:46:10,0.624s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:46:10,2018-03-14 18:46:10,0.448s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-14 18:46:10,2018-03-14 18:46:11,0.807s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:46:11,2018-03-14 18:46:11,0.250s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:46:11,2018-03-14 18:46:12,0.316s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 18:46:12,2018-03-14 18:46:12,0.299s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:46:12,2018-03-14 18:46:12,0.191s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-14 18:46:12,2018-03-14 18:46:12,0.031s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:46:12,2018-03-14 18:46:13,0.233s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-14 18:46:13,2018-03-14 18:46:42,29.486s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:46:42,2018-03-14 18:46:42,0.414s,PASSED
waitForAngularLoad,Chrome 64.0.3282.186,,2018-03-14 18:46:42,2018-03-14 18:46:47,4.280s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-14 18:46:47,2018-03-14 18:46:47,0.074s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:46:47,2018-03-14 18:46:47,0.304s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-14 18:46:47,2018-03-14 18:46:53,6.237s,PASSED
"Statement - attribute = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Apttus - Quote Page (11)/div_Approved), ""class"")",Chrome 64.0.3282.186,,2018-03-14 18:46:53,2018-03-14 18:46:53,0.075s,PASSED
"Statement - verifttrue = attribute.contains(""select"")",Chrome 64.0.3282.186,,2018-03-14 18:46:53,2018-03-14 18:46:53,0.001s,PASSED
verifyEqual,Chrome 64.0.3282.186,,2018-03-14 18:46:53,2018-03-14 18:46:53,0.001s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:46:53,2018-03-14 18:46:56,2.941s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-14 18:46:56,2018-03-14 18:46:57,0.564s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:46:57,2018-03-14 18:46:57,0.166s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-14 18:46:57,2018-03-14 18:46:58,1.246s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 18:46:58,2018-03-14 18:46:59,0.229s,PASSED
waitForElementVisible,Chrome 64.0.3282.186,,2018-03-14 18:46:59,2018-03-14 18:46:59,0.053s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:46:59,2018-03-14 18:46:59,0.096s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:46:59,2018-03-14 18:46:59,0.120s,PASSED
waitForElementVisible,Chrome 64.0.3282.186,,2018-03-14 18:46:59,2018-03-14 18:46:59,0.071s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-14 18:46:59,2018-03-14 18:48:09,1m - 10.001s,PASSED
verifyElementPresent,Chrome 64.0.3282.186,,2018-03-14 18:48:09,2018-03-14 18:48:09,0.037s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:48:09,2018-03-14 18:48:09,0.391s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 18:48:09,2018-03-14 18:48:10,0.299s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-14 18:48:10,2018-03-14 18:48:12,2.001s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-14 18:48:12,2018-03-14 18:48:14,2.002s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 18:48:14,2018-03-14 18:48:14,0.326s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-14 18:48:14,2018-03-14 18:48:19,5.002s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:48:19,2018-03-14 18:48:30,10.879s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-14 18:48:30,2018-03-14 18:48:35,5.001s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:48:35,2018-03-14 18:48:35,0.186s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-14 18:48:35,2018-03-14 18:49:05,30.005s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:49:05,2018-03-14 18:49:06,1.080s,PASSED
