Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo,Firefox 58.0,,2018-02-23 12:36:51,2018-02-23 12:40:50,3m - 59.455s,FAILED
,,,,,,
Test Cases/Main Test Cases/testdata,Firefox 58.0,,2018-02-23 12:36:52,2018-02-23 12:38:13,1m - 21.099s,FAILED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(data),Firefox 58.0,,2018-02-23 12:36:53,2018-02-23 12:36:55,1.600s,PASSED
openBrowser,Firefox 58.0,,2018-02-23 12:36:55,2018-02-23 12:37:01,6.317s,PASSED
navigateToUrl,Firefox 58.0,,2018-02-23 12:37:01,2018-02-23 12:37:04,3.062s,PASSED
setText,Firefox 58.0,,2018-02-23 12:37:04,2018-02-23 12:37:04,0.342s,PASSED
setText,Firefox 58.0,,2018-02-23 12:37:04,2018-02-23 12:37:04,0.103s,PASSED
sendKeys,Firefox 58.0,,2018-02-23 12:37:04,2018-02-23 12:37:05,0.157s,PASSED
click,Firefox 58.0,,2018-02-23 12:37:05,2018-02-23 12:37:20,15.071s,PASSED
click,Firefox 58.0,,2018-02-23 12:37:20,2018-02-23 12:37:21,1.185s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 12:37:21,2018-02-23 12:37:22,1.095s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 12:37:22,2018-02-23 12:37:23,0.923s,PASSED
click,Firefox 58.0,,2018-02-23 12:37:23,2018-02-23 12:37:29,6.225s,PASSED
click,Firefox 58.0,,2018-02-23 12:37:29,2018-02-23 12:37:32,3.032s,PASSED
setText,Firefox 58.0,,2018-02-23 12:37:32,2018-02-23 12:37:32,0.225s,PASSED
click,Firefox 58.0,,2018-02-23 12:37:32,2018-02-23 12:37:33,0.359s,PASSED
switchToWindowIndex,Firefox 58.0,,2018-02-23 12:37:33,2018-02-23 12:37:33,0.101s,PASSED
click,Firefox 58.0,,2018-02-23 12:37:33,2018-02-23 12:37:35,1.817s,PASSED
