Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo,Firefox 58.0,,2018-02-23 11:26:05,2018-02-23 11:29:23,3m - 17.978s,PASSED
,,,,,,
Test Cases/Main Test Cases/testdata,Firefox 58.0,,2018-02-23 11:26:06,2018-02-23 11:27:21,1m - 15.099s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(data),Firefox 58.0,,2018-02-23 11:26:07,2018-02-23 11:26:09,1.623s,PASSED
openBrowser,Firefox 58.0,,2018-02-23 11:26:09,2018-02-23 11:26:18,9.557s,PASSED
navigateToUrl,Firefox 58.0,,2018-02-23 11:26:18,2018-02-23 11:26:22,3.753s,PASSED
setText,Firefox 58.0,,2018-02-23 11:26:22,2018-02-23 11:26:22,0.229s,PASSED
setText,Firefox 58.0,,2018-02-23 11:26:22,2018-02-23 11:26:22,0.139s,PASSED
sendKeys,Firefox 58.0,,2018-02-23 11:26:22,2018-02-23 11:26:23,0.260s,PASSED
click,Firefox 58.0,,2018-02-23 11:26:23,2018-02-23 11:26:40,17.771s,PASSED
click,Firefox 58.0,,2018-02-23 11:26:40,2018-02-23 11:26:42,1.252s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 11:26:42,2018-02-23 11:26:43,1.352s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 11:26:43,2018-02-23 11:26:44,1.020s,PASSED
click,Firefox 58.0,,2018-02-23 11:26:44,2018-02-23 11:26:51,6.689s,PASSED
click,Firefox 58.0,,2018-02-23 11:26:51,2018-02-23 11:26:54,3.249s,PASSED
setText,Firefox 58.0,,2018-02-23 11:26:54,2018-02-23 11:26:54,0.254s,PASSED
click,Firefox 58.0,,2018-02-23 11:26:54,2018-02-23 11:26:55,0.638s,PASSED
switchToWindowIndex,Firefox 58.0,,2018-02-23 11:26:55,2018-02-23 11:26:55,0.293s,PASSED
click,Firefox 58.0,,2018-02-23 11:26:55,2018-02-23 11:26:56,1.275s,PASSED
switchToDefaultContent,Firefox 58.0,,2018-02-23 11:26:56,2018-02-23 11:26:56,0.037s,PASSED
click,Firefox 58.0,,2018-02-23 11:26:56,2018-02-23 11:26:57,0.332s,PASSED
switchToWindowIndex,Firefox 58.0,,2018-02-23 11:26:57,2018-02-23 11:26:57,0.034s,PASSED
click,Firefox 58.0,,2018-02-23 11:26:57,2018-02-23 11:26:59,2.666s,PASSED
click,Firefox 58.0,,2018-02-23 11:26:59,2018-02-23 11:27:00,0.515s,PASSED
click,Firefox 58.0,,2018-02-23 11:27:00,2018-02-23 11:27:00,0.494s,PASSED
switchToWindowIndex,Firefox 58.0,,2018-02-23 11:27:00,2018-02-23 11:27:01,0.122s,PASSED
click,Firefox 58.0,,2018-02-23 11:27:01,2018-02-23 11:27:03,2.161s,PASSED
switchToDefaultContent,Firefox 58.0,,2018-02-23 11:27:03,2018-02-23 11:27:03,0.039s,PASSED
click,Firefox 58.0,,2018-02-23 11:27:03,2018-02-23 11:27:03,0.332s,PASSED
click,Firefox 58.0,,2018-02-23 11:27:03,2018-02-23 11:27:03,0.256s,PASSED
click,Firefox 58.0,,2018-02-23 11:27:03,2018-02-23 11:27:04,0.266s,PASSED
click,Firefox 58.0,,2018-02-23 11:27:04,2018-02-23 11:27:04,0.266s,PASSED
setText,Firefox 58.0,,2018-02-23 11:27:04,2018-02-23 11:27:04,0.098s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 11:27:04,2018-02-23 11:27:10,6.140s,PASSED
click,Firefox 58.0,,2018-02-23 11:27:10,2018-02-23 11:27:10,0.302s,PASSED
click,Firefox 58.0,,2018-02-23 11:27:10,2018-02-23 11:27:11,0.277s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 11:27:11,2018-02-23 11:27:11,0.464s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 11:27:11,2018-02-23 11:27:12,0.443s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 11:27:12,2018-02-23 11:27:12,0.480s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 11:27:12,2018-02-23 11:27:13,0.715s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 11:27:13,2018-02-23 11:27:13,0.498s,PASSED
click,Firefox 58.0,,2018-02-23 11:27:13,2018-02-23 11:27:15,1.508s,PASSED
closeBrowser,Firefox 58.0,,2018-02-23 11:27:15,2018-02-23 11:27:21,6.389s,PASSED
,,,,,,
Test Cases/Main Test Cases/testdata,Firefox 58.0,,2018-02-23 11:27:21,2018-02-23 11:28:20,59.297s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(data),Firefox 58.0,,2018-02-23 11:27:21,2018-02-23 11:27:21,0.083s,PASSED
openBrowser,Firefox 58.0,,2018-02-23 11:27:21,2018-02-23 11:27:29,7.891s,PASSED
navigateToUrl,Firefox 58.0,,2018-02-23 11:27:29,2018-02-23 11:27:33,3.648s,PASSED
setText,Firefox 58.0,,2018-02-23 11:27:33,2018-02-23 11:27:33,0.148s,PASSED
setText,Firefox 58.0,,2018-02-23 11:27:33,2018-02-23 11:27:33,0.188s,PASSED
sendKeys,Firefox 58.0,,2018-02-23 11:27:33,2018-02-23 11:27:33,0.196s,PASSED
click,Firefox 58.0,,2018-02-23 11:27:33,2018-02-23 11:27:48,14.436s,PASSED
click,Firefox 58.0,,2018-02-23 11:27:48,2018-02-23 11:27:49,1.196s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 11:27:49,2018-02-23 11:27:50,0.967s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 11:27:50,2018-02-23 11:27:51,0.906s,PASSED
click,Firefox 58.0,,2018-02-23 11:27:51,2018-02-23 11:27:56,5.413s,PASSED
click,Firefox 58.0,,2018-02-23 11:27:56,2018-02-23 11:28:00,3.360s,PASSED
setText,Firefox 58.0,,2018-02-23 11:28:00,2018-02-23 11:28:00,0.262s,PASSED
click,Firefox 58.0,,2018-02-23 11:28:00,2018-02-23 11:28:00,0.390s,PASSED
switchToWindowIndex,Firefox 58.0,,2018-02-23 11:28:00,2018-02-23 11:28:00,0.079s,PASSED
click,Firefox 58.0,,2018-02-23 11:28:00,2018-02-23 11:28:02,1.844s,PASSED
switchToDefaultContent,Firefox 58.0,,2018-02-23 11:28:02,2018-02-23 11:28:02,0.025s,PASSED
click,Firefox 58.0,,2018-02-23 11:28:02,2018-02-23 11:28:03,0.318s,PASSED
switchToWindowIndex,Firefox 58.0,,2018-02-23 11:28:03,2018-02-23 11:28:03,0.096s,PASSED
click,Firefox 58.0,,2018-02-23 11:28:03,2018-02-23 11:28:04,1.765s,PASSED
click,Firefox 58.0,,2018-02-23 11:28:04,2018-02-23 11:28:05,0.350s,PASSED
click,Firefox 58.0,,2018-02-23 11:28:05,2018-02-23 11:28:05,0.402s,PASSED
switchToWindowIndex,Firefox 58.0,,2018-02-23 11:28:05,2018-02-23 11:28:05,0.066s,PASSED
click,Firefox 58.0,,2018-02-23 11:28:05,2018-02-23 11:28:08,2.929s,PASSED
switchToDefaultContent,Firefox 58.0,,2018-02-23 11:28:08,2018-02-23 11:28:08,0.054s,PASSED
click,Firefox 58.0,,2018-02-23 11:28:08,2018-02-23 11:28:09,0.292s,PASSED
click,Firefox 58.0,,2018-02-23 11:28:09,2018-02-23 11:28:09,0.316s,PASSED
click,Firefox 58.0,,2018-02-23 11:28:09,2018-02-23 11:28:09,0.282s,PASSED
click,Firefox 58.0,,2018-02-23 11:28:09,2018-02-23 11:28:09,0.242s,PASSED
setText,Firefox 58.0,,2018-02-23 11:28:09,2018-02-23 11:28:10,0.095s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 11:28:10,2018-02-23 11:28:15,5.204s,PASSED
click,Firefox 58.0,,2018-02-23 11:28:15,2018-02-23 11:28:15,0.260s,PASSED
click,Firefox 58.0,,2018-02-23 11:28:15,2018-02-23 11:28:15,0.262s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 11:28:15,2018-02-23 11:28:16,0.525s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 11:28:16,2018-02-23 11:28:17,0.791s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 11:28:17,2018-02-23 11:28:17,0.438s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 11:28:17,2018-02-23 11:28:17,0.449s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 11:28:17,2018-02-23 11:28:18,0.704s,PASSED
click,Firefox 58.0,,2018-02-23 11:28:18,2018-02-23 11:28:19,1.296s,PASSED
closeBrowser,Firefox 58.0,,2018-02-23 11:28:19,2018-02-23 11:28:20,1.043s,PASSED
,,,,,,
Test Cases/Main Test Cases/testdata,Firefox 58.0,,2018-02-23 11:28:20,2018-02-23 11:29:23,1m - 2.450s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(data),Firefox 58.0,,2018-02-23 11:28:21,2018-02-23 11:28:21,0.092s,PASSED
openBrowser,Firefox 58.0,,2018-02-23 11:28:21,2018-02-23 11:28:27,6.607s,PASSED
navigateToUrl,Firefox 58.0,,2018-02-23 11:28:27,2018-02-23 11:28:31,3.971s,PASSED
setText,Firefox 58.0,,2018-02-23 11:28:31,2018-02-23 11:28:31,0.241s,PASSED
setText,Firefox 58.0,,2018-02-23 11:28:31,2018-02-23 11:28:32,0.251s,PASSED
sendKeys,Firefox 58.0,,2018-02-23 11:28:32,2018-02-23 11:28:32,0.047s,PASSED
click,Firefox 58.0,,2018-02-23 11:28:32,2018-02-23 11:28:48,16.103s,PASSED
click,Firefox 58.0,,2018-02-23 11:28:48,2018-02-23 11:28:49,1.205s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 11:28:49,2018-02-23 11:28:51,1.532s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 11:28:51,2018-02-23 11:28:52,0.924s,PASSED
click,Firefox 58.0,,2018-02-23 11:28:52,2018-02-23 11:28:58,6.702s,PASSED
click,Firefox 58.0,,2018-02-23 11:28:58,2018-02-23 11:29:01,3.199s,PASSED
setText,Firefox 58.0,,2018-02-23 11:29:01,2018-02-23 11:29:02,0.232s,PASSED
click,Firefox 58.0,,2018-02-23 11:29:02,2018-02-23 11:29:02,0.528s,PASSED
switchToWindowIndex,Firefox 58.0,,2018-02-23 11:29:02,2018-02-23 11:29:03,0.574s,PASSED
click,Firefox 58.0,,2018-02-23 11:29:03,2018-02-23 11:29:05,2.033s,PASSED
