Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo,Firefox 58.0,,2018-02-23 12:32:16,2018-02-23 12:36:46,4m - 29.662s,FAILED
,,,,,,
Test Cases/Main Test Cases/testdata,Firefox 58.0,,2018-02-23 12:32:17,2018-02-23 12:33:24,1m - 7.059s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(data),Firefox 58.0,,2018-02-23 12:32:18,2018-02-23 12:32:19,1.029s,PASSED
openBrowser,Firefox 58.0,,2018-02-23 12:32:19,2018-02-23 12:32:25,5.916s,PASSED
navigateToUrl,Firefox 58.0,,2018-02-23 12:32:25,2018-02-23 12:32:29,3.808s,PASSED
setText,Firefox 58.0,,2018-02-23 12:32:29,2018-02-23 12:32:29,0.212s,PASSED
setText,Firefox 58.0,,2018-02-23 12:32:29,2018-02-23 12:32:29,0.143s,PASSED
sendKeys,Firefox 58.0,,2018-02-23 12:32:29,2018-02-23 12:32:29,0.270s,PASSED
click,Firefox 58.0,,2018-02-23 12:32:29,2018-02-23 12:32:46,16.353s,PASSED
click,Firefox 58.0,,2018-02-23 12:32:46,2018-02-23 12:32:47,1.158s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 12:32:47,2018-02-23 12:32:48,1.100s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 12:32:48,2018-02-23 12:32:49,0.885s,PASSED
click,Firefox 58.0,,2018-02-23 12:32:49,2018-02-23 12:32:55,6.297s,PASSED
click,Firefox 58.0,,2018-02-23 12:32:55,2018-02-23 12:32:58,3.145s,PASSED
setText,Firefox 58.0,,2018-02-23 12:32:58,2018-02-23 12:32:59,0.263s,PASSED
click,Firefox 58.0,,2018-02-23 12:32:59,2018-02-23 12:32:59,0.419s,PASSED
switchToWindowIndex,Firefox 58.0,,2018-02-23 12:32:59,2018-02-23 12:32:59,0.088s,PASSED
click,Firefox 58.0,,2018-02-23 12:32:59,2018-02-23 12:33:01,1.853s,PASSED
switchToDefaultContent,Firefox 58.0,,2018-02-23 12:33:01,2018-02-23 12:33:01,0.038s,PASSED
click,Firefox 58.0,,2018-02-23 12:33:01,2018-02-23 12:33:01,0.335s,PASSED
switchToWindowIndex,Firefox 58.0,,2018-02-23 12:33:01,2018-02-23 12:33:01,0.033s,PASSED
click,Firefox 58.0,,2018-02-23 12:33:01,2018-02-23 12:33:03,1.743s,PASSED
click,Firefox 58.0,,2018-02-23 12:33:03,2018-02-23 12:33:03,0.320s,PASSED
switchToWindowIndex,Firefox 58.0,,2018-02-23 12:33:03,2018-02-23 12:33:03,0.048s,PASSED
click,Firefox 58.0,,2018-02-23 12:33:03,2018-02-23 12:33:05,1.786s,PASSED
switchToDefaultContent,Firefox 58.0,,2018-02-23 12:33:05,2018-02-23 12:33:05,0.056s,PASSED
click,Firefox 58.0,,2018-02-23 12:33:05,2018-02-23 12:33:06,0.351s,PASSED
switchToWindowIndex,Firefox 58.0,,2018-02-23 12:33:06,2018-02-23 12:33:06,0.046s,PASSED
click,Firefox 58.0,,2018-02-23 12:33:06,2018-02-23 12:33:07,1.775s,PASSED
switchToDefaultContent,Firefox 58.0,,2018-02-23 12:33:07,2018-02-23 12:33:07,0.029s,PASSED
click,Firefox 58.0,,2018-02-23 12:33:07,2018-02-23 12:33:08,0.290s,PASSED
click,Firefox 58.0,,2018-02-23 12:33:08,2018-02-23 12:33:08,0.261s,PASSED
click,Firefox 58.0,,2018-02-23 12:33:08,2018-02-23 12:33:08,0.266s,PASSED
click,Firefox 58.0,,2018-02-23 12:33:08,2018-02-23 12:33:09,0.249s,PASSED
setText,Firefox 58.0,,2018-02-23 12:33:09,2018-02-23 12:33:09,0.076s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 12:33:09,2018-02-23 12:33:13,4.403s,PASSED
click,Firefox 58.0,,2018-02-23 12:33:13,2018-02-23 12:33:13,0.244s,PASSED
click,Firefox 58.0,,2018-02-23 12:33:13,2018-02-23 12:33:13,0.265s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 12:33:13,2018-02-23 12:33:14,0.443s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 12:33:14,2018-02-23 12:33:14,0.425s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 12:33:14,2018-02-23 12:33:15,0.458s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 12:33:15,2018-02-23 12:33:15,0.455s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 12:33:15,2018-02-23 12:33:16,0.435s,PASSED
click,Firefox 58.0,,2018-02-23 12:33:16,2018-02-23 12:33:23,7.765s,PASSED
closeBrowser,Firefox 58.0,,2018-02-23 12:33:23,2018-02-23 12:33:24,0.683s,PASSED
,,,,,,
Test Cases/Main Test Cases/testdata,Firefox 58.0,,2018-02-23 12:33:24,2018-02-23 12:34:42,1m - 18.291s,FAILED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(data),Firefox 58.0,,2018-02-23 12:33:24,2018-02-23 12:33:24,0.055s,PASSED
openBrowser,Firefox 58.0,,2018-02-23 12:33:24,2018-02-23 12:33:30,5.280s,PASSED
navigateToUrl,Firefox 58.0,,2018-02-23 12:33:30,2018-02-23 12:33:34,3.926s,PASSED
setText,Firefox 58.0,,2018-02-23 12:33:34,2018-02-23 12:33:34,0.205s,PASSED
setText,Firefox 58.0,,2018-02-23 12:33:34,2018-02-23 12:33:34,0.083s,PASSED
sendKeys,Firefox 58.0,,2018-02-23 12:33:34,2018-02-23 12:33:34,0.118s,PASSED
click,Firefox 58.0,,2018-02-23 12:33:34,2018-02-23 12:33:49,14.800s,PASSED
click,Firefox 58.0,,2018-02-23 12:33:49,2018-02-23 12:33:50,1.233s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 12:33:50,2018-02-23 12:33:51,1.010s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-23 12:33:51,2018-02-23 12:33:52,0.816s,PASSED
