Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo,Firefox 58.0,,2018-02-26 11:47:53,2018-02-26 11:52:28,4m - 35.441s,FAILED
,,,,,,
Test Cases/Main Test Cases/testdata,Firefox 58.0,,2018-02-26 11:47:54,2018-02-26 11:49:26,1m - 32.332s,FAILED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(data),Firefox 58.0,,2018-02-26 11:47:56,2018-02-26 11:47:57,1.719s,PASSED
openBrowser,Firefox 58.0,,2018-02-26 11:47:57,2018-02-26 11:48:09,12.095s,PASSED
navigateToUrl,Firefox 58.0,,2018-02-26 11:48:09,2018-02-26 11:48:13,3.859s,PASSED
setText,Firefox 58.0,,2018-02-26 11:48:13,2018-02-26 11:48:13,0.257s,PASSED
setText,Firefox 58.0,,2018-02-26 11:48:13,2018-02-26 11:48:14,0.264s,PASSED
sendKeys,Firefox 58.0,,2018-02-26 11:48:14,2018-02-26 11:48:14,0.106s,PASSED
click,Firefox 58.0,,2018-02-26 11:48:14,2018-02-26 11:48:30,16.583s,PASSED
click,Firefox 58.0,,2018-02-26 11:48:30,2018-02-26 11:48:32,1.802s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-26 11:48:32,2018-02-26 11:48:34,1.586s,PASSED
selectOptionByValue,Firefox 58.0,,2018-02-26 11:48:34,2018-02-26 11:48:35,1.057s,PASSED
click,Firefox 58.0,,2018-02-26 11:48:35,2018-02-26 11:48:41,6.341s,PASSED
click,Firefox 58.0,,2018-02-26 11:48:41,2018-02-26 11:48:45,3.762s,PASSED
setText,Firefox 58.0,,2018-02-26 11:48:45,2018-02-26 11:48:45,0.213s,PASSED
click,Firefox 58.0,,2018-02-26 11:48:45,2018-02-26 11:48:46,0.565s,PASSED
switchToWindowIndex,Firefox 58.0,,2018-02-26 11:48:46,2018-02-26 11:48:46,0.251s,PASSED
click,Firefox 58.0,,2018-02-26 11:48:46,2018-02-26 11:48:47,1.368s,PASSED
switchToDefaultContent,Firefox 58.0,,2018-02-26 11:48:47,2018-02-26 11:48:47,0.048s,PASSED
click,Firefox 58.0,,2018-02-26 11:48:47,2018-02-26 11:48:48,0.363s,PASSED
switchToWindowIndex,Firefox 58.0,,2018-02-26 11:48:48,2018-02-26 11:48:48,0.027s,PASSED
click,Firefox 58.0,,2018-02-26 11:48:48,2018-02-26 11:48:50,1.748s,PASSED
