Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo,,,2018-02-22 13:27:43,2018-02-22 13:27:45,1.891s,ERROR
,,,,,,
Test Cases/Main Test Cases/testdata,,,2018-02-22 13:27:44,2018-02-22 13:27:45,0.827s,ERROR
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(data),,,2018-02-22 13:27:45,2018-02-22 13:27:45,0.030s,PASSED
,,,,,,
Test Cases/Main Test Cases/testdata,,,2018-02-22 13:27:45,2018-02-22 13:27:45,0.225s,ERROR
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(data),,,2018-02-22 13:27:45,2018-02-22 13:27:45,0.002s,PASSED
,,,,,,
Test Cases/Main Test Cases/testdata,,,2018-02-22 13:27:45,2018-02-22 13:27:45,0.144s,ERROR
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(data),,,2018-02-22 13:27:45,2018-02-22 13:27:45,0.003s,PASSED
