Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
delay,Chrome 64.0.3282.186,,2018-03-16 16:45:21,2018-03-16 16:45:23,2.001s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 16:45:23,2018-03-16 16:45:23,0.202s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 16:45:23,2018-03-16 16:45:25,2.002s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-16 16:45:25,2018-03-16 16:45:48,23.186s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 16:45:48,2018-03-16 16:45:49,0.407s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-16 16:45:49,2018-03-16 16:45:53,4.090s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 16:45:53,2018-03-16 16:45:53,0.313s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-16 16:45:53,2018-03-16 16:45:57,3.872s,PASSED
Statement - statusAuthoring = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Apttus - Contract Lifecycle Ma/md-chip_In Signatures  Pending)),Chrome 64.0.3282.186,,2018-03-16 16:45:57,2018-03-16 16:45:57,0.070s,PASSED
verifyEqual,Chrome 64.0.3282.186,,2018-03-16 16:45:57,2018-03-16 16:45:57,0.001s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 16:45:57,2018-03-16 16:45:57,0.407s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-16 16:45:57,2018-03-16 16:45:57,0.109s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 16:45:57,2018-03-16 16:45:58,0.172s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-16 16:45:58,2018-03-16 16:45:59,1.292s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 16:45:59,2018-03-16 16:45:59,0.252s,PASSED
Statement - statusAuthoring = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Apttus - Contract Lifecycle Ma/md-chip_In Signatures  Fully S)),Chrome 64.0.3282.186,,2018-03-16 16:45:59,2018-03-16 16:46:03,3.668s,PASSED
verifyEqual,Chrome 64.0.3282.186,,2018-03-16 16:46:03,2018-03-16 16:46:03,0.002s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-16 16:46:03,2018-03-16 16:46:04,1.226s,PASSED
