Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SNOW,Chrome 64.0.3282.186,,2018-03-14 18:30:27,2018-03-14 18:38:43,8m - 16.387s,FAILED
,,,,,,
Test Cases/Main Test Cases/apttus11,Chrome 64.0.3282.186,,2018-03-14 18:30:28,2018-03-14 18:36:28,6m - 0.407s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-14 18:30:29,2018-03-14 18:30:40,11.588s,PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-14 18:30:40,2018-03-14 18:30:42,1.337s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-14 18:30:42,2018-03-14 18:30:52,9.835s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 18:30:52,2018-03-14 18:31:06,14.333s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 18:31:06,2018-03-14 18:31:06,0.173s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:31:06,2018-03-14 18:31:06,0.158s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-14 18:31:06,2018-03-14 18:31:20,13.841s,PASSED
"Statement - attribute = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Apttus - Quote Page (11)/div_Draft), ""class"")",Chrome 64.0.3282.186,,2018-03-14 18:31:20,2018-03-14 18:31:21,0.516s,PASSED
"Statement - verifttrue = attribute.contains(""select"")",Chrome 64.0.3282.186,,2018-03-14 18:31:21,2018-03-14 18:31:21,0.002s,PASSED
verifyEqual,Chrome 64.0.3282.186,,2018-03-14 18:31:21,2018-03-14 18:31:21,0.041s,PASSED
Statement - quote = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Apttus - Quote Page (13)/QUOTEid)),Chrome 64.0.3282.186,,2018-03-14 18:31:21,2018-03-14 18:31:21,0.701s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:31:21,2018-03-14 18:31:28,7.157s,PASSED
waitForElementVisible,Chrome 64.0.3282.186,,2018-03-14 18:31:28,2018-03-14 18:31:32,3.641s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 18:31:32,2018-03-14 18:31:33,0.798s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-14 18:31:33,2018-03-14 18:31:35,2.009s,PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-14 18:31:35,2018-03-14 18:31:35,0.294s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-14 18:31:35,2018-03-14 18:31:36,1.085s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:31:36,2018-03-14 18:31:36,0.144s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-14 18:31:36,2018-03-14 18:31:46,9.318s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:31:46,2018-03-14 18:31:46,0.662s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 18:31:46,2018-03-14 18:31:47,0.789s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:31:47,2018-03-14 18:31:47,0.287s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-14 18:31:47,2018-03-14 18:31:48,0.110s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:31:48,2018-03-14 18:31:48,0.352s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:31:48,2018-03-14 18:31:48,0.468s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 18:31:48,2018-03-14 18:31:49,0.318s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:31:49,2018-03-14 18:31:49,0.203s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-14 18:31:49,2018-03-14 18:31:49,0.036s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 18:31:49,2018-03-14 18:31:49,0.191s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-14 18:31:49,2018-03-14 18:32:22,32.890s,PASSED
