Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SNOW,Chrome 64.0.3282.186,,2018-03-15 15:18:36,2018-03-15 15:29:17,10m - 40.934s,FAILED
,,,,,,
Test Cases/Main Test Cases/apttus11,Chrome 64.0.3282.186,,2018-03-15 15:18:37,2018-03-15 15:26:44,8m - 6.243s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-15 15:18:39,2018-03-15 15:18:46,7.240s,PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-15 15:18:46,2018-03-15 15:18:47,1.220s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 15:18:47,2018-03-15 15:19:06,19.003s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 15:19:06,2018-03-15 15:19:18,12.059s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 15:19:18,2018-03-15 15:19:18,0.324s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 15:19:18,2018-03-15 15:19:19,0.246s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-15 15:19:19,2018-03-15 15:19:36,17.184s,PASSED
"Statement - attribute = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Apttus - Quote Page (11)/div_Draft), ""class"")",Chrome 64.0.3282.186,,2018-03-15 15:19:36,2018-03-15 15:19:36,0.486s,PASSED
"Statement - verifttrue = attribute.contains(""select"")",Chrome 64.0.3282.186,,2018-03-15 15:19:36,2018-03-15 15:19:36,0.001s,PASSED
verifyEqual,Chrome 64.0.3282.186,,2018-03-15 15:19:36,2018-03-15 15:19:36,0.050s,PASSED
Statement - quote = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Apttus - Quote Page (13)/QUOTEid)),Chrome 64.0.3282.186,,2018-03-15 15:19:36,2018-03-15 15:19:37,0.548s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 15:19:37,2018-03-15 15:19:48,10.856s,PASSED
waitForElementVisible,Chrome 64.0.3282.186,,2018-03-15 15:19:48,2018-03-15 15:19:53,4.667s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 15:19:53,2018-03-15 15:19:54,1.320s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-15 15:19:54,2018-03-15 15:19:56,2.013s,PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-15 15:19:56,2018-03-15 15:19:56,0.482s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-15 15:19:56,2018-03-15 15:19:57,0.780s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 15:19:57,2018-03-15 15:19:57,0.196s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-15 15:19:57,2018-03-15 15:20:15,17.834s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 15:20:15,2018-03-15 15:20:17,1.799s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 15:20:17,2018-03-15 15:20:18,1.257s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 15:20:18,2018-03-15 15:20:19,0.511s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-15 15:20:19,2018-03-15 15:20:19,0.318s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 15:20:19,2018-03-15 15:20:20,0.761s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 15:20:20,2018-03-15 15:20:20,0.504s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 15:20:20,2018-03-15 15:20:21,0.406s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 15:20:21,2018-03-15 15:20:21,0.313s,PASSED
